model_name,model,accuracy,kappa
RandomForest,rf,0.8837209302325582,0.8252032520325203
LogisticRegression,glmnet,0.7674418604651163,0.6537842190016103
SVM,svmRadial,0.7674418604651163,0.6537842190016103
ElasticNet,glmnet,0.7441860465116279,0.6097359735973598
